"review_id","repository_id","repository_owner","repository_name","language","repository_creation_date","repository_update_date","pull_request_id","pull_request_title","pull_request_body","pull_request_state","pull_request_locked","pull_request_creation_date","pull_request_update_date","pull_request_close_date","pull_request_merged","pull_request_mergeable","pull_request_comments","pull_request_reviews","pull_request_review_comments","pull_request_commits","pull_request_additions","pull_request_deletions","pull_request_changed_files","review_state","review_body","reviewer_login"
1625123,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86818203,"Recording Audio #372","Fixes #372 \n","closed",false,"2016-09-26T21:02:22.000Z","2016-09-27T14:48:27.000Z","2016-09-27T14:48:24.000Z",true,false,2,11,19,13,251,0,2,"CHANGES_REQUESTED","Overall looks good, only a few minor comments.\n","petele"
1625849,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86818203,"Recording Audio #372","Fixes #372 \n","closed",false,"2016-09-26T21:02:22.000Z","2016-09-27T14:48:27.000Z","2016-09-27T14:48:24.000Z",true,false,2,11,19,13,251,0,2,"COMMENTED","","jpmedley"
1626039,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86818203,"Recording Audio #372","Fixes #372 \n","closed",false,"2016-09-26T21:02:22.000Z","2016-09-27T14:48:27.000Z","2016-09-27T14:48:24.000Z",true,false,2,11,19,13,251,0,2,"COMMENTED","","PaulKinlan"
1633415,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86818203,"Recording Audio #372","Fixes #372 \n","closed",false,"2016-09-26T21:02:22.000Z","2016-09-27T14:48:27.000Z","2016-09-27T14:48:24.000Z",true,false,2,11,19,13,251,0,2,"COMMENTED","","petele"
1633445,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86818203,"Recording Audio #372","Fixes #372 \n","closed",false,"2016-09-26T21:02:22.000Z","2016-09-27T14:48:27.000Z","2016-09-27T14:48:24.000Z",true,false,2,11,19,13,251,0,2,"COMMENTED","","petele"
1646843,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86839515,"Fixes #3460 - Adds Intro to Progressive Web App Architecture","Heyo. This is a first-pass on PWA Architecture. I've tried to link to relevant /web docs where it made sense, take advantage of devsite styling for callouts and ensure `gulp test` passed. Images have all been run through ImageOptim.\n\nTodos:\n- [ ]  Tech writer review\n- [ ]  Add Vivian to the contributors list and add her to the author list on this doc\n- [ ]  Investigate other improvements I can make to the content\n","closed",false,"2016-09-26T23:44:55.000Z","2016-09-27T17:19:07.000Z","2016-09-27T17:19:07.000Z",true,false,1,2,29,3,925,2,7,"CHANGES_REQUESTED","Left a number of comments that need to be addressed. Let's hop on a hangout tomorrow to figure out if this belongs here, if there's a better place for this.\n","petele"
1705033,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86818203,"Recording Audio #372","Fixes #372 \n","closed",false,"2016-09-26T21:02:22.000Z","2016-09-27T14:48:27.000Z","2016-09-27T14:48:24.000Z",true,false,2,11,19,13,251,0,2,"COMMENTED","","PaulKinlan"
1705186,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86818203,"Recording Audio #372","Fixes #372 \n","closed",false,"2016-09-26T21:02:22.000Z","2016-09-27T14:48:27.000Z","2016-09-27T14:48:24.000Z",true,false,2,11,19,13,251,0,2,"COMMENTED","","PaulKinlan"
1705446,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86818203,"Recording Audio #372","Fixes #372 \n","closed",false,"2016-09-26T21:02:22.000Z","2016-09-27T14:48:27.000Z","2016-09-27T14:48:24.000Z",true,false,2,11,19,13,251,0,2,"COMMENTED","","PaulKinlan"
1705643,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86818203,"Recording Audio #372","Fixes #372 \n","closed",false,"2016-09-26T21:02:22.000Z","2016-09-27T14:48:27.000Z","2016-09-27T14:48:24.000Z",true,false,2,11,19,13,251,0,2,"COMMENTED","","PaulKinlan"
1705716,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86818203,"Recording Audio #372","Fixes #372 \n","closed",false,"2016-09-26T21:02:22.000Z","2016-09-27T14:48:27.000Z","2016-09-27T14:48:24.000Z",true,false,2,11,19,13,251,0,2,"COMMENTED","","PaulKinlan"
1705865,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86818203,"Recording Audio #372","Fixes #372 \n","closed",false,"2016-09-26T21:02:22.000Z","2016-09-27T14:48:27.000Z","2016-09-27T14:48:24.000Z",true,false,2,11,19,13,251,0,2,"COMMENTED","","PaulKinlan"
1755556,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86839515,"Fixes #3460 - Adds Intro to Progressive Web App Architecture","Heyo. This is a first-pass on PWA Architecture. I've tried to link to relevant /web docs where it made sense, take advantage of devsite styling for callouts and ensure `gulp test` passed. Images have all been run through ImageOptim.\n\nTodos:\n- [ ]  Tech writer review\n- [ ]  Add Vivian to the contributors list and add her to the author list on this doc\n- [ ]  Investigate other improvements I can make to the content\n","closed",false,"2016-09-26T23:44:55.000Z","2016-09-27T17:19:07.000Z","2016-09-27T17:19:07.000Z",true,false,1,2,29,3,925,2,7,"COMMENTED","Addy,\n\nI've only reviewed down to the start of 'Architectural Styles and Patterns'.  I think this article has quite a bit of redundancy that could squeezed out. I'm here to help if you want it.\n","jpmedley"
1820883,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86249955,"Enr1","","closed",false,"2016-09-21T22:04:55.000Z","2016-11-03T18:59:35.000Z","2016-09-29T14:48:17.000Z",false,false,7,17,92,27,331,73,3,"COMMENTED","","gauntface"
1821078,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86249955,"Enr1","","closed",false,"2016-09-21T22:04:55.000Z","2016-11-03T18:59:35.000Z","2016-09-29T14:48:17.000Z",false,false,7,17,92,27,331,73,3,"COMMENTED","","gauntface"
1821805,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86249955,"Enr1","","closed",false,"2016-09-21T22:04:55.000Z","2016-11-03T18:59:35.000Z","2016-09-29T14:48:17.000Z",false,false,7,17,92,27,331,73,3,"COMMENTED","","gauntface"
1822359,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86249955,"Enr1","","closed",false,"2016-09-21T22:04:55.000Z","2016-11-03T18:59:35.000Z","2016-09-29T14:48:17.000Z",false,false,7,17,92,27,331,73,3,"COMMENTED","","gauntface"
1822690,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86249955,"Enr1","","closed",false,"2016-09-21T22:04:55.000Z","2016-11-03T18:59:35.000Z","2016-09-29T14:48:17.000Z",false,false,7,17,92,27,331,73,3,"COMMENTED","","gauntface"
1823160,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86249955,"Enr1","","closed",false,"2016-09-21T22:04:55.000Z","2016-11-03T18:59:35.000Z","2016-09-29T14:48:17.000Z",false,false,7,17,92,27,331,73,3,"COMMENTED","","gauntface"
1823474,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86249955,"Enr1","","closed",false,"2016-09-21T22:04:55.000Z","2016-11-03T18:59:35.000Z","2016-09-29T14:48:17.000Z",false,false,7,17,92,27,331,73,3,"COMMENTED","","gauntface"
1827809,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86249955,"Enr1","","closed",false,"2016-09-21T22:04:55.000Z","2016-11-03T18:59:35.000Z","2016-09-29T14:48:17.000Z",false,false,7,17,92,27,331,73,3,"COMMENTED","","jpmedley"
1828048,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86249955,"Enr1","","closed",false,"2016-09-21T22:04:55.000Z","2016-11-03T18:59:35.000Z","2016-09-29T14:48:17.000Z",false,false,7,17,92,27,331,73,3,"COMMENTED","","jpmedley"
